p,esperanza,desviacion estandar,varianza,minimo,maximo
220,8.4004,1.2005,1.4413,8.0000,12.0000
221,8.9470,0.9727,0.9462,8.0000,10.0000
222,12.7460,4.7453,22.5175,8.0000,18.0000
223,10.7020,3.4078,11.6132,8.0000,15.0000
224,10.8060,1.5252,2.3264,9.0000,13.0000
225,7.1630,1.6403,2.6904,6.0000,12.0000
226,7.6180,1.2133,1.4721,7.0000,10.0000
227,9.3100,1.3431,1.8039,8.0000,11.0000
228,11.0480,0.9735,0.9477,9.0000,12.0000
229,8.4750,0.4994,0.2494,8.0000,9.0000
230,11.4180,2.6125,6.8253,9.0000,15.0000
231,11.4250,2.2055,4.8644,9.0000,14.0000
232,11.3530,4.1822,17.4904,8.0000,18.0000
233,9.7650,0.7923,0.6278,9.0000,11.0000
234,10.0500,0.3122,0.0975,10.0000,12.0000
235,9.0640,0.9979,0.9959,8.0000,10.0000
236,8.4120,1.7613,3.1023,7.0000,11.0000
237,10.3720,2.7788,7.7216,9.0000,16.0000
238,8.2440,0.6546,0.4285,8.0000,10.0000
239,7.6590,2.1449,4.6007,6.0000,17.0000
240,8.6860,0.9096,0.8274,6.0000,9.0000
241,9.5610,0.4963,0.2463,9.0000,10.0000
242,9.2790,1.9696,3.8792,7.0000,12.0000
243,8.8550,0.9402,0.8840,8.0000,10.0000
244,9.3950,1.2988,1.6870,8.0000,11.0000
245,9.7090,1.0938,1.1963,8.0000,12.0000
246,8.3850,1.3531,1.8308,7.0000,10.0000
247,8.7550,1.1336,1.2850,7.0000,10.0000
248,8.0000,0.0000,0.0000,8.0000,8.0000
249,9.1450,2.2601,5.1080,7.0000,12.0000
250,13.1300,3.3987,11.5511,10.0000,19.0000
251,8.5280,0.8816,0.7772,8.0000,10.0000
252,10.3640,1.5380,2.3655,7.0000,12.0000
253,7.0000,0.0000,0.0000,7.0000,7.0000
254,10.7780,3.5274,12.4427,8.0000,17.0000
255,10.3140,3.0032,9.0194,6.0000,14.0000
256,7.2210,1.7624,3.1062,6.0000,13.0000
257,8.0900,1.0119,1.0239,6.0000,9.0000
258,8.7440,3.7808,14.2945,6.0000,15.0000
259,9.0270,2.0645,4.2623,7.0000,12.0000
260,8.5940,1.2414,1.5412,7.0000,10.0000
261,6.8500,0.9474,0.8975,6.0000,13.0000
262,9.2880,3.2541,10.5891,7.0000,16.0000
263,7.4750,3.0436,9.2634,5.0000,12.0000
264,9.3640,0.9314,0.8675,8.0000,10.0000
265,8.2360,0.7130,0.5083,7.0000,9.0000
266,8.8120,0.9532,0.9087,8.0000,11.0000
267,9.7200,2.6694,7.1256,6.0000,13.0000
268,6.0000,0.0000,0.0000,6.0000,6.0000
269,7.5360,0.9213,0.8487,6.0000,11.0000
270,8.0000,0.0000,0.0000,8.0000,8.0000
271,11.2940,1.6382,2.6836,7.0000,13.0000
272,10.0560,2.5493,6.4989,8.0000,14.0000
273,9.0230,0.1499,0.0225,9.0000,10.0000
274,8.1740,2.7272,7.4377,6.0000,12.0000
275,9.8930,2.2108,4.8876,6.0000,12.0000
276,6.9540,2.4265,5.8879,5.0000,10.0000
277,8.8020,2.3968,5.7448,6.0000,12.0000
278,6.8680,0.9912,0.9826,6.0000,8.0000
279,7.4230,0.4940,0.2441,7.0000,8.0000
280,7.3510,0.6323,0.3998,6.0000,8.0000
281,6.9170,0.9940,0.9881,6.0000,8.0000
282,7.8810,0.3589,0.1288,7.0000,9.0000
283,8.0080,1.6970,2.8799,6.0000,10.0000
284,6.7400,0.6711,0.4504,6.0000,8.0000
285,6.8540,0.9893,0.9787,6.0000,8.0000
286,8.1930,1.3892,1.9298,7.0000,10.0000
287,7.1450,0.3521,0.1240,7.0000,8.0000
288,7.4740,0.8505,0.7233,7.0000,9.0000
289,8.1180,0.7524,0.5661,7.0000,9.0000
290,8.5800,1.3999,1.9596,6.0000,10.0000
291,7.8230,2.5127,6.3137,5.0000,11.0000
292,7.6570,0.7883,0.6214,7.0000,11.0000
293,9.3910,1.2546,1.5741,8.0000,11.0000
294,6.6880,1.0838,1.1747,6.0000,12.0000
295,7.9250,1.0409,1.0834,7.0000,10.0000
296,8.4510,1.3644,1.8616,7.0000,10.0000
297,6.9720,0.9996,0.9992,6.0000,8.0000
298,6.0510,0.3878,0.1504,6.0000,9.0000
299,7.2390,0.8977,0.8059,5.0000,8.0000
300,6.1600,0.5426,0.2944,6.0000,8.0000
301,7.4160,0.4929,0.2429,7.0000,8.0000
302,7.3990,1.3190,1.7398,6.0000,9.0000
303,7.6920,1.0896,1.1871,6.0000,9.0000
304,8.3590,0.4797,0.2301,8.0000,9.0000
305,6.4280,1.2365,1.5288,6.0000,10.0000
306,8.1240,1.3786,1.9006,7.0000,10.0000
307,9.9250,1.3629,1.8574,7.0000,12.0000
308,6.9550,1.7513,3.0670,6.0000,13.0000
309,7.2690,1.3284,1.7646,6.0000,9.0000
310,8.0310,1.3342,1.7800,7.0000,11.0000
311,5.9510,1.0792,1.1646,5.0000,10.0000
312,8.1480,0.9890,0.9781,7.0000,9.0000
313,8.2020,2.5050,6.2752,6.0000,12.0000
314,8.2480,1.8532,3.4345,7.0000,11.0000
315,7.6790,1.7765,3.1560,6.0000,10.0000
316,6.7000,0.4583,0.2100,6.0000,7.0000
317,6.4730,1.8296,3.3473,5.0000,9.0000
318,6.0020,1.0000,1.0000,5.0000,7.0000
319,6.5060,0.5000,0.2500,6.0000,7.0000
320,5.5760,0.4942,0.2442,5.0000,6.0000
321,6.8190,0.3850,0.1482,6.0000,7.0000
322,7.9290,1.4373,2.0660,6.0000,9.0000
323,7.3300,0.7301,0.5331,6.0000,8.0000
324,7.8230,0.3817,0.1457,7.0000,8.0000
325,6.9540,1.1180,1.2499,5.0000,8.0000
326,5.4090,0.4916,0.2417,5.0000,6.0000
327,9.0240,1.1355,1.2894,7.0000,10.0000
328,8.2740,2.8165,7.9329,6.0000,12.0000
329,5.2520,0.4342,0.1885,5.0000,6.0000
330,7.7240,1.9809,3.9238,6.0000,10.0000
331,6.5720,0.4948,0.2448,6.0000,7.0000
332,6.4230,0.4940,0.2441,6.0000,7.0000
333,9.9210,3.2568,10.6068,7.0000,14.0000
334,7.0000,0.0000,0.0000,7.0000,7.0000
335,7.8630,2.5231,6.3662,5.0000,11.0000
336,8.4620,2.1639,4.6826,5.0000,11.0000
337,8.7180,0.8115,0.6585,6.0000,9.0000
338,5.5220,0.4995,0.2495,5.0000,6.0000
339,6.2610,0.9833,0.9669,5.0000,8.0000
340,8.6400,1.9673,3.8704,7.0000,11.0000
341,7.9020,1.1482,1.3184,7.0000,10.0000
342,6.1830,1.6678,2.7815,5.0000,10.0000
343,8.4260,2.1574,4.6545,6.0000,12.0000
344,6.5300,0.4991,0.2491,6.0000,7.0000
345,8.9130,3.0400,9.2414,6.0000,13.0000
346,5.8860,1.6202,2.6250,4.0000,8.0000
347,7.0710,1.1225,1.2600,5.0000,8.0000
348,8.2380,1.3702,1.8774,7.0000,10.0000
349,6.4350,0.4958,0.2458,6.0000,7.0000
350,5.8880,0.9937,0.9875,5.0000,7.0000
351,6.4970,0.5020,0.2520,5.0000,7.0000
352,5.3930,0.4884,0.2386,5.0000,6.0000
353,7.6930,1.2644,1.5988,7.0000,10.0000
354,7.0000,0.0000,0.0000,7.0000,7.0000
355,6.0000,0.0000,0.0000,6.0000,6.0000
356,7.3680,1.4942,2.2326,6.0000,9.0000
357,6.0000,0.0000,0.0000,6.0000,6.0000
358,6.5720,0.4948,0.2448,6.0000,7.0000
359,6.1400,0.3470,0.1204,6.0000,7.0000
360,7.5750,1.3283,1.7644,6.0000,9.0000
361,5.3700,0.4828,0.2331,5.0000,6.0000
362,5.4320,0.4954,0.2454,5.0000,6.0000
363,6.5970,1.0162,1.0326,5.0000,8.0000
364,8.3340,2.0066,4.0264,6.0000,11.0000
365,8.5600,1.6439,2.7024,7.0000,11.0000
366,6.4270,1.9392,3.7607,4.0000,9.0000
367,6.0320,1.4251,2.0310,5.0000,8.0000
368,7.1040,1.5611,2.4372,5.0000,9.0000
369,5.3510,0.9643,0.9298,5.0000,8.0000
370,7.2070,1.4704,2.1622,6.0000,10.0000
371,6.5960,0.8030,0.6448,5.0000,7.0000
372,7.6780,3.6258,13.1463,5.0000,14.0000
373,5.9640,0.9994,0.9987,5.0000,7.0000
374,6.8430,0.7670,0.5884,6.0000,8.0000
375,5.5770,0.6419,0.4121,5.0000,7.0000
376,4.9360,0.9979,0.9959,4.0000,6.0000
377,7.0030,2.0521,4.2110,5.0000,10.0000
378,6.0000,0.0000,0.0000,6.0000,6.0000
379,7.2330,1.1648,1.3567,6.0000,9.0000
380,5.6730,0.8087,0.6541,5.0000,7.0000
381,6.3220,1.2257,1.5023,5.0000,8.0000
382,5.7580,0.9703,0.9414,5.0000,7.0000
383,7.0750,1.3324,1.7754,5.0000,9.0000
384,5.6260,0.4839,0.2341,5.0000,6.0000
385,6.3210,0.6797,0.4620,5.0000,7.0000
386,6.1760,0.3808,0.1450,6.0000,7.0000
387,5.6900,0.4625,0.2139,5.0000,6.0000
388,6.2250,0.7214,0.5204,5.0000,7.0000
389,6.9290,0.8625,0.7440,6.0000,8.0000
390,6.0050,1.5732,2.4750,5.0000,10.0000
391,5.5590,0.4965,0.2465,5.0000,6.0000
392,6.2680,2.6161,6.8442,4.0000,10.0000
393,7.0900,1.9037,3.6239,4.0000,9.0000
394,6.3080,1.3027,1.6971,5.0000,8.0000
395,5.7360,0.8765,0.7683,5.0000,8.0000
396,5.5220,0.4995,0.2495,5.0000,6.0000
397,6.8030,0.7773,0.6042,6.0000,8.0000
398,6.4330,1.3941,1.9435,5.0000,8.0000
399,6.4770,1.0970,1.2035,6.0000,9.0000
