n,a,esperanza,desviacion estandar,varianza,minimo,maximo
100,0.100000,92.0100,4.1036,16.8399,75.0000,93.0000
100,0.200000,82.0000,0.0000,0.0000,82.0000,82.0000
100,0.300000,21.0000,0.0000,0.0000,21.0000,21.0000
100,0.400000,18.0000,0.0000,0.0000,18.0000,18.0000
100,0.500000,8.0000,0.0000,0.0000,8.0000,8.0000
100,0.600000,8.0000,0.0000,0.0000,8.0000,8.0000
100,0.700000,10.0000,0.0000,0.0000,10.0000,10.0000
100,0.800000,9.0000,0.0000,0.0000,9.0000,9.0000
100,0.900000,14.0840,5.2670,27.7409,7.0000,18.0000
200,0.100000,100.0000,0.0000,0.0000,100.0000,100.0000
200,0.200000,100.0000,0.0000,0.0000,100.0000,100.0000
200,0.300000,45.2360,2.7336,7.4723,41.0000,47.0000
200,0.400000,14.9360,0.2448,0.0599,14.0000,15.0000
200,0.500000,12.0000,0.0000,0.0000,12.0000,12.0000
200,0.600000,11.0000,0.0000,0.0000,11.0000,11.0000
200,0.700000,7.3360,1.1096,1.2311,7.0000,11.0000
200,0.800000,12.0220,0.9998,0.9995,11.0000,13.0000
200,0.900000,7.6650,1.4909,2.2228,6.0000,9.0000
400,0.100000,100.0000,0.0000,0.0000,100.0000,100.0000
400,0.200000,96.0450,3.4703,12.0430,93.0000,100.0000
400,0.300000,21.2860,5.5475,30.7742,16.0000,28.0000
400,0.400000,16.5080,2.9594,8.7579,14.0000,20.0000
400,0.500000,9.7010,1.4302,2.0456,9.0000,13.0000
400,0.600000,9.8480,1.9942,3.9769,8.0000,12.0000
400,0.700000,10.8460,4.3676,19.0763,6.0000,17.0000
400,0.800000,9.1470,1.6767,2.8114,8.0000,13.0000
400,0.900000,7.9360,1.0507,1.1039,7.0000,10.0000
800,0.100000,100.0000,0.0000,0.0000,100.0000,100.0000
800,0.200000,85.2190,19.1256,365.7870,49.0000,100.0000
800,0.300000,22.6900,4.6989,22.0799,18.0000,32.0000
800,0.400000,15.0230,1.1029,1.2165,11.0000,16.0000
800,0.500000,11.0340,1.8533,3.4348,9.0000,14.0000
800,0.600000,9.8520,3.3224,11.0381,7.0000,16.0000
800,0.700000,9.7920,2.1328,4.5487,8.0000,14.0000
800,0.800000,7.7120,1.3073,1.7091,6.0000,10.0000
800,0.900000,7.4970,1.0517,1.1060,6.0000,9.0000
1600,0.100000,100.0000,0.0000,0.0000,100.0000,100.0000
1600,0.200000,69.5890,11.4938,132.1081,51.0000,89.0000
1600,0.300000,22.0470,3.5064,12.2948,17.0000,28.0000
1600,0.400000,14.9830,2.1172,4.4827,11.0000,21.0000
1600,0.500000,9.9270,1.2106,1.4657,8.0000,12.0000
1600,0.600000,10.1570,1.7333,3.0044,8.0000,15.0000
1600,0.700000,9.4820,1.7058,2.9097,8.0000,14.0000
1600,0.800000,8.1950,0.3962,0.1570,8.0000,9.0000
1600,0.900000,9.1430,1.8597,3.4586,7.0000,13.0000
3200,0.100000,100.0000,0.0000,0.0000,100.0000,100.0000
3200,0.200000,50.7890,11.1710,124.7905,36.0000,78.0000
3200,0.300000,17.7920,1.8902,3.5727,15.0000,21.0000
3200,0.400000,14.7950,4.7555,22.6150,10.0000,30.0000
3200,0.500000,10.5850,1.6855,2.8408,8.0000,15.0000
3200,0.600000,10.1320,1.8624,3.4686,8.0000,16.0000
3200,0.700000,9.3150,1.3038,1.6998,8.0000,12.0000
3200,0.800000,9.2810,2.2481,5.0540,7.0000,19.0000
3200,0.900000,9.4370,2.5927,6.7220,6.0000,19.0000
6400,0.100000,100.0000,0.0000,0.0000,100.0000,100.0000
6400,0.200000,48.2640,7.9235,62.7823,33.0000,75.0000
6400,0.300000,18.8850,3.1375,9.8438,14.0000,31.0000
6400,0.400000,13.6670,2.1420,4.5881,11.0000,20.0000
6400,0.500000,11.5440,2.0630,4.2561,9.0000,19.0000
6400,0.600000,9.9640,1.4835,2.2007,8.0000,15.0000
6400,0.700000,10.2390,1.8697,3.4959,7.0000,15.0000
6400,0.800000,9.7050,2.4112,5.8140,7.0000,21.0000
6400,0.900000,9.3420,1.7341,3.0070,7.0000,15.0000
12800,0.100000,100.0000,0.0000,0.0000,100.0000,100.0000
12800,0.200000,44.4580,6.6857,44.6982,32.0000,78.0000
12800,0.300000,18.6920,2.6562,7.0551,14.0000,28.0000
12800,0.400000,14.2290,2.1509,4.6266,10.0000,22.0000
12800,0.500000,11.6860,2.1084,4.4454,9.0000,20.0000
12800,0.600000,10.8570,2.1704,4.7106,8.0000,20.0000
12800,0.700000,10.1840,2.0125,4.0501,8.0000,19.0000
12800,0.800000,9.9310,2.1643,4.6842,7.0000,21.0000
12800,0.900000,10.3510,2.6191,6.8598,6.0000,21.0000
25600,0.100000,100.0000,0.0000,0.0000,100.0000,100.0000
25600,0.200000,47.7970,6.9527,48.3398,35.0000,86.0000
25600,0.300000,19.9610,2.8708,8.2415,15.0000,34.0000
25600,0.400000,14.7910,2.0380,4.1533,11.0000,24.0000
25600,0.500000,12.3400,2.1101,4.4524,9.0000,25.0000
25600,0.600000,11.5410,1.9386,3.7583,8.0000,21.0000
25600,0.700000,11.0810,1.9744,3.8984,8.0000,23.0000
25600,0.800000,10.8640,2.0375,4.1515,8.0000,24.0000
25600,0.900000,11.1580,2.4838,6.1690,7.0000,28.0000
51200,0.100000,100.0000,0.0000,0.0000,100.0000,100.0000
51200,0.200000,30.4670,4.0248,16.1989,23.0000,54.0000
51200,0.300000,16.6890,2.3389,5.4703,12.0000,30.0000
51200,0.400000,13.0300,1.9553,3.8231,10.0000,24.0000
51200,0.500000,11.1240,1.6324,2.6646,8.0000,20.0000
51200,0.600000,10.5090,1.6389,2.6859,7.0000,23.0000
51200,0.700000,10.2240,1.6631,2.7658,7.0000,21.0000
51200,0.800000,10.2080,1.8619,3.4667,7.0000,26.0000
51200,0.900000,10.4030,2.3585,5.5626,7.0000,31.0000
