n,Rondas,Consenso
4,2,True
4,8,True
4,7,True
4,2,True
4,1,True
4,3,True
4,22,True
4,4,True
4,1,True
4,6,True
4,1,True
4,1,True
4,7,True
4,4,True
4,1,True
4,1,True
4,5,True
4,6,True
4,1,True
4,1,True
4,2,True
4,2,True
4,1,True
4,1,True
4,7,True
4,3,True
4,10,True
4,1,True
4,1,True
4,3,True
4,2,True
4,8,True
4,3,True
4,5,True
4,4,True
4,5,True
4,2,True
4,1,True
4,2,True
4,2,True
4,1,True
4,1,True
4,1,True
4,1,True
4,1,True
4,5,True
4,3,True
4,11,True
4,3,True
4,3,True
4,2,True
4,3,True
4,4,True
4,1,True
4,5,True
4,1,True
4,3,True
4,6,True
4,1,True
4,15,True
4,1,True
4,4,True
4,4,True
4,1,True
4,4,True
4,2,True
4,7,True
4,15,True
4,1,True
4,8,True
4,1,True
4,3,True
4,1,True
4,2,True
4,1,True
4,5,True
4,9,True
4,2,True
4,2,True
4,3,True
4,5,True
4,4,True
4,1,True
4,3,True
4,13,True
4,1,True
4,1,True
4,1,True
4,18,True
4,7,True
4,1,True
4,5,True
4,1,True
4,4,True
4,2,True
4,1,True
4,1,True
4,1,True
4,1,True
4,13,True
8,7,True
8,7,True
8,6,True
8,2,True
8,2,True
8,1,True
8,3,True
8,23,True
8,7,True
8,3,True
8,18,True
8,5,True
8,11,True
8,9,True
8,4,True
8,5,True
8,11,True
8,11,True
8,8,True
8,3,True
8,24,True
8,10,True
8,6,True
8,4,True
8,4,True
8,26,True
8,5,True
8,9,True
8,1,True
8,10,True
8,4,True
8,2,True
8,1,True
8,15,True
8,13,True
8,11,True
8,2,True
8,4,True
8,8,True
8,1,True
8,7,True
8,3,True
8,26,True
8,3,True
8,3,True
8,5,True
8,6,True
8,19,True
8,6,True
8,10,True
8,8,True
8,14,True
8,3,True
8,8,True
8,2,True
8,18,True
8,6,True
8,2,True
8,13,True
8,7,True
8,1,True
8,6,True
8,9,True
8,3,True
8,13,True
8,5,True
8,3,True
8,2,True
8,4,True
8,7,True
8,7,True
8,1,True
8,11,True
8,8,True
8,6,True
8,9,True
8,7,True
8,7,True
8,2,True
8,8,True
8,2,True
8,13,True
8,3,True
8,11,True
8,11,True
8,12,True
8,12,True
8,4,True
8,7,True
8,16,True
8,11,True
8,13,True
8,18,True
8,4,True
8,7,True
8,8,True
8,5,True
8,4,True
8,17,True
8,10,True
16,2,True
16,7,True
16,22,True
16,29,True
16,6,True
16,14,True
16,5,True
16,11,True
16,15,True
16,50,True
16,11,True
16,25,True
16,36,True
16,10,True
16,4,True
16,4,True
16,15,True
16,8,True
16,9,True
16,13,True
16,15,True
16,16,True
16,5,True
16,20,True
16,20,True
16,10,True
16,13,True
16,28,True
16,15,True
16,9,True
16,15,True
16,44,True
16,46,True
16,17,True
16,32,True
16,27,True
16,14,True
16,5,True
16,24,True
16,6,True
16,23,True
16,54,True
16,9,True
16,23,True
16,6,True
16,12,True
16,23,True
16,46,True
16,9,True
16,8,True
16,9,True
16,20,True
16,4,True
16,9,True
16,11,True
16,7,True
16,4,True
16,9,True
16,36,True
16,11,True
16,15,True
16,8,True
16,57,True
16,24,True
16,6,True
16,4,True
16,17,True
16,33,True
16,6,True
16,17,True
16,8,True
16,31,True
16,31,True
16,4,True
16,8,True
16,48,True
16,29,True
16,5,True
16,8,True
16,33,True
16,18,True
16,3,True
16,19,True
16,38,True
16,5,True
16,14,True
16,18,True
16,7,True
16,7,True
16,14,True
16,13,True
16,8,True
16,44,True
16,20,True
16,5,True
16,11,True
16,12,True
16,60,True
16,31,True
16,6,True
32,48,True
32,110,True
32,52,True
32,66,True
32,21,True
32,10,True
32,33,True
32,51,True
32,24,True
32,10,True
32,16,True
32,25,True
32,22,True
32,15,True
32,16,True
32,63,True
32,49,True
32,62,True
32,28,True
32,25,True
32,31,True
32,41,True
32,30,True
32,28,True
32,8,True
32,177,True
32,16,True
32,30,True
32,12,True
32,20,True
32,103,True
32,32,True
32,58,True
32,10,True
32,67,True
32,26,True
32,119,True
32,35,True
32,25,True
32,57,True
32,74,True
32,37,True
32,36,True
32,20,True
32,192,True
32,33,True
32,24,True
32,46,True
32,20,True
32,137,True
32,21,True
32,16,True
32,43,True
32,38,True
32,10,True
32,18,True
32,20,True
32,24,True
32,6,True
32,67,True
32,12,True
32,11,True
32,32,True
32,19,True
32,31,True
32,24,True
32,12,True
32,21,True
32,36,True
32,23,True
32,44,True
32,64,True
32,8,True
32,148,True
32,86,True
32,20,True
32,52,True
32,32,True
32,28,True
32,23,True
32,32,True
32,23,True
32,27,True
32,37,True
32,25,True
32,23,True
32,64,True
32,219,True
32,30,True
32,15,True
32,27,True
32,21,True
32,26,True
32,48,True
32,8,True
32,39,True
32,39,True
32,39,True
32,33,True
32,37,True
64,265,True
64,185,True
64,231,True
64,54,True
64,107,True
64,34,True
64,76,True
64,82,True
64,153,True
64,170,True
64,101,True
64,96,True
64,137,True
64,40,True
64,31,True
64,53,True
64,98,True
64,56,True
64,29,True
64,34,True
64,23,True
64,149,True
64,38,True
64,41,True
64,91,True
64,29,True
64,60,True
64,31,True
64,68,True
64,39,True
64,321,True
64,50,True
64,67,True
64,92,True
64,22,True
64,40,True
64,71,True
64,36,True
64,70,True
64,252,True
64,329,True
64,64,True
64,68,True
64,101,True
64,74,True
64,38,True
64,44,True
64,178,True
64,157,True
64,63,True
64,69,True
64,35,True
64,23,True
64,33,True
64,145,True
64,49,True
64,77,True
64,88,True
64,29,True
64,116,True
64,47,True
64,47,True
64,69,True
64,188,True
64,58,True
64,47,True
64,152,True
64,33,True
64,22,True
64,90,True
64,319,True
64,26,True
64,46,True
64,44,True
64,28,True
64,69,True
64,69,True
64,47,True
64,68,True
64,35,True
64,58,True
64,64,True
64,150,True
64,26,True
64,21,True
64,22,True
64,106,True
64,158,True
64,85,True
64,122,True
64,21,True
64,161,True
64,70,True
64,64,True
64,160,True
64,54,True
64,47,True
64,72,True
64,43,True
64,84,True
128,71,True
128,119,True
128,61,True
128,161,True
128,151,True
128,101,True
128,120,True
128,506,True
128,223,True
128,222,True
128,263,True
128,167,True
128,239,True
128,148,True
128,83,True
128,129,True
128,286,True
128,102,True
128,122,True
128,108,True
128,144,True
128,118,True
128,159,True
128,95,True
128,655,True
128,131,True
128,78,True
128,521,True
128,93,True
128,204,True
128,57,True
128,57,True
128,199,True
128,47,True
128,32,True
128,497,True
128,168,True
128,184,True
128,98,True
128,254,True
128,96,True
128,386,True
128,218,True
128,94,True
128,246,True
128,331,True
128,98,True
128,31,True
128,210,True
128,277,True
128,257,True
128,65,True
128,174,True
128,176,True
128,93,True
128,351,True
128,74,True
128,99,True
128,378,True
128,99,True
128,144,True
128,255,True
128,158,True
128,709,True
128,95,True
128,72,True
128,58,True
128,56,True
128,160,True
128,311,True
128,151,True
128,180,True
128,28,True
128,76,True
128,60,True
128,242,True
128,105,True
128,119,True
128,302,True
128,238,True
128,74,True
128,80,True
128,100,True
128,117,True
128,115,True
128,83,True
128,188,True
128,133,True
128,184,True
128,50,True
128,141,True
128,105,True
128,128,True
128,642,True
128,89,True
128,79,True
128,306,True
128,248,True
128,126,True
128,191,True
256,358,True
256,762,True
256,243,True
256,325,True
256,315,True
256,189,True
256,437,True
256,203,True
256,624,True
256,97,True
256,315,True
256,215,True
256,98,True
256,211,True
256,399,True
256,232,True
256,172,True
256,123,True
256,262,True
256,632,True
256,535,True
256,132,True
256,451,True
256,167,True
256,197,True
256,279,True
256,144,True
256,444,True
256,135,True
256,118,True
256,500,True
256,191,True
256,368,True
256,526,True
256,281,True
256,231,True
256,584,True
256,177,True
256,256,True
256,756,True
256,383,True
256,1000,False
256,567,True
256,185,True
256,578,True
256,353,True
256,614,True
256,634,True
256,253,True
256,782,True
256,301,True
256,177,True
256,231,True
256,312,True
256,112,True
256,261,True
256,158,True
256,680,True
256,356,True
256,1000,False
256,645,True
256,271,True
256,514,True
256,401,True
256,63,True
256,155,True
256,156,True
256,403,True
256,264,True
256,1000,False
256,59,True
256,541,True
256,437,True
256,389,True
256,292,True
256,206,True
256,469,True
256,298,True
256,770,True
256,589,True
256,444,True
256,64,True
256,144,True
256,224,True
256,114,True
256,233,True
256,223,True
256,136,True
256,738,True
256,156,True
256,981,True
256,199,True
256,613,True
256,249,True
256,142,True
256,169,True
256,91,True
256,148,True
256,637,True
256,310,True
512,508,True
512,588,True
512,928,True
512,274,True
512,591,True
512,314,True
512,598,True
512,918,True
512,804,True
512,500,True
512,435,True
512,864,True
512,446,True
512,567,True
512,378,True
512,1000,False
512,575,True
512,647,True
512,410,True
512,962,True
512,842,True
512,1000,False
512,254,True
512,1000,False
512,231,True
512,485,True
512,141,True
512,244,True
512,133,True
512,931,True
512,579,True
512,973,True
512,687,True
512,1000,False
512,1000,False
512,940,True
512,964,True
512,353,True
512,803,True
512,1000,False
512,1000,False
512,492,True
512,1000,False
512,659,True
512,681,True
512,792,True
512,779,True
512,596,True
512,155,True
512,182,True
512,233,True
512,1000,False
512,1000,False
512,534,True
512,545,True
512,1000,False
512,320,True
512,693,True
512,273,True
512,243,True
512,293,True
512,563,True
512,297,True
512,578,True
512,1000,False
512,488,True
512,246,True
512,298,True
512,790,True
512,658,True
512,688,True
512,238,True
512,1000,False
512,1000,False
512,1000,False
512,705,True
512,1000,False
512,686,True
512,1000,False
512,293,True
512,324,True
512,616,True
512,824,True
512,1000,False
512,515,True
512,360,True
512,354,True
512,318,True
512,1000,False
512,876,True
512,214,True
512,967,True
512,1000,False
512,934,True
512,421,True
512,615,True
512,617,True
512,842,True
512,1000,False
512,812,True
