n,tiempo,Consenso
4,7,True
4,7,True
4,3,True
4,13,True
4,2,True
4,2,True
4,2,True
4,1,True
4,5,True
4,4,True
4,1,True
4,1,True
4,6,True
4,7,True
4,4,True
4,1,True
4,6,True
4,1,True
4,9,True
4,1,True
4,12,True
4,3,True
4,10,True
4,5,True
4,2,True
4,13,True
4,5,True
4,5,True
4,3,True
4,2,True
4,3,True
4,1,True
4,3,True
4,7,True
4,5,True
4,3,True
4,12,True
4,24,True
4,1,True
4,4,True
4,9,True
4,4,True
4,1,True
4,2,True
4,9,True
4,1,True
4,2,True
4,4,True
4,1,True
4,5,True
4,5,True
4,6,True
4,10,True
4,1,True
4,2,True
4,2,True
4,4,True
4,2,True
4,1,True
4,6,True
4,5,True
4,3,True
4,1,True
4,4,True
4,1,True
4,1,True
4,1,True
4,2,True
4,5,True
4,3,True
4,8,True
4,2,True
4,1,True
4,2,True
4,3,True
4,2,True
4,3,True
4,7,True
4,1,True
4,2,True
4,10,True
4,2,True
4,1,True
4,1,True
4,2,True
4,1,True
4,2,True
4,1,True
4,6,True
4,11,True
4,2,True
4,1,True
4,1,True
4,1,True
4,3,True
4,1,True
4,8,True
4,1,True
4,1,True
4,7,True
8,32,True
8,104,True
8,16,True
8,23,True
8,48,True
8,47,True
8,35,True
8,18,True
8,20,True
8,13,True
8,15,True
8,44,True
8,24,True
8,35,True
8,43,True
8,42,True
8,34,True
8,42,True
8,61,True
8,156,True
8,26,True
8,5,True
8,19,True
8,7,True
8,7,True
8,30,True
8,102,True
8,6,True
8,14,True
8,82,True
8,38,True
8,22,True
8,2,True
8,73,True
8,6,True
8,8,True
8,182,True
8,2,True
8,69,True
8,24,True
8,36,True
8,2,True
8,133,True
8,21,True
8,26,True
8,24,True
8,2,True
8,22,True
8,236,True
8,30,True
8,3,True
8,64,True
8,77,True
8,48,True
8,36,True
8,21,True
8,73,True
8,13,True
8,24,True
8,25,True
8,4,True
8,73,True
8,17,True
8,22,True
8,57,True
8,54,True
8,49,True
8,12,True
8,19,True
8,38,True
8,119,True
8,94,True
8,95,True
8,65,True
8,29,True
8,36,True
8,8,True
8,63,True
8,90,True
8,39,True
8,9,True
8,6,True
8,137,True
8,53,True
8,10,True
8,46,True
8,64,True
8,88,True
8,60,True
8,12,True
8,39,True
8,96,True
8,8,True
8,20,True
8,24,True
8,21,True
8,36,True
8,5,True
8,4,True
8,63,True
16,9,True
16,93,True
16,53,True
16,38,True
16,2,True
16,14,True
16,174,True
16,102,True
16,55,True
16,4,True
16,40,True
16,17,True
16,60,True
16,24,True
16,12,True
16,62,True
16,229,True
16,4,True
16,51,True
16,117,True
16,1,True
16,10,True
16,31,True
16,193,True
16,25,True
16,120,True
16,55,True
16,25,True
16,8,True
16,102,True
16,89,True
16,147,True
16,98,True
16,46,True
16,39,True
16,25,True
16,14,True
16,1,True
16,85,True
16,29,True
16,63,True
16,6,True
16,231,True
16,99,True
16,102,True
16,57,True
16,144,True
16,171,True
16,42,True
16,53,True
16,12,True
16,26,True
16,7,True
16,173,True
16,67,True
16,11,True
16,21,True
16,6,True
16,45,True
16,30,True
16,10,True
16,25,True
16,1,True
16,123,True
16,34,True
16,54,True
16,128,True
16,62,True
16,154,True
16,136,True
16,120,True
16,8,True
16,352,True
16,94,True
16,181,True
16,22,True
16,39,True
16,79,True
16,57,True
16,31,True
16,83,True
16,75,True
16,29,True
16,17,True
16,272,True
16,6,True
16,93,True
16,113,True
16,1,True
16,86,True
16,21,True
16,26,True
16,21,True
16,108,True
16,220,True
16,158,True
16,29,True
16,107,True
16,98,True
16,39,True
32,10,True
32,18,True
32,42,True
32,5,True
32,2,True
32,11,True
32,68,True
32,35,True
32,13,True
32,7,True
32,72,True
32,29,True
32,20,True
32,34,True
32,74,True
32,57,True
32,38,True
32,7,True
32,20,True
32,9,True
32,17,True
32,2,True
32,12,True
32,50,True
32,67,True
32,8,True
32,2,True
32,13,True
32,14,True
32,18,True
32,6,True
32,15,True
32,14,True
32,18,True
32,13,True
32,65,True
32,32,True
32,2,True
32,55,True
32,24,True
32,33,True
32,37,True
32,14,True
32,114,True
32,15,True
32,54,True
32,55,True
32,15,True
32,38,True
32,47,True
32,6,True
32,17,True
32,62,True
32,24,True
32,8,True
32,35,True
32,2,True
32,38,True
32,2,True
32,124,True
32,16,True
32,10,True
32,2,True
32,13,True
32,19,True
32,30,True
32,8,True
32,19,True
32,21,True
32,20,True
32,32,True
32,120,True
32,14,True
32,3,True
32,12,True
32,31,True
32,9,True
32,14,True
32,18,True
32,55,True
32,11,True
32,14,True
32,6,True
32,9,True
32,17,True
32,37,True
32,63,True
32,107,True
32,22,True
32,12,True
32,16,True
32,46,True
32,1,True
32,8,True
32,101,True
32,103,True
32,43,True
32,3,True
32,241,True
32,71,True
64,13,True
64,5,True
64,23,True
64,31,True
64,9,True
64,15,True
64,6,True
64,10,True
64,2,True
64,24,True
64,30,True
64,11,True
64,9,True
64,9,True
64,17,True
64,16,True
64,8,True
64,15,True
64,9,True
64,9,True
64,2,True
64,15,True
64,14,True
64,8,True
64,15,True
64,12,True
64,5,True
64,16,True
64,8,True
64,7,True
64,5,True
64,32,True
64,29,True
64,42,True
64,23,True
64,10,True
64,24,True
64,28,True
64,6,True
64,3,True
64,7,True
64,10,True
64,8,True
64,8,True
64,20,True
64,68,True
64,5,True
64,7,True
64,7,True
64,12,True
64,4,True
64,3,True
64,19,True
64,27,True
64,27,True
64,23,True
64,4,True
64,19,True
64,4,True
64,6,True
64,9,True
64,16,True
64,33,True
64,5,True
64,3,True
64,25,True
64,13,True
64,10,True
64,12,True
64,78,True
64,14,True
64,4,True
64,13,True
64,27,True
64,7,True
64,21,True
64,12,True
64,5,True
64,16,True
64,8,True
64,3,True
64,9,True
64,5,True
64,16,True
64,38,True
64,2,True
64,5,True
64,14,True
64,5,True
64,5,True
64,3,True
64,20,True
64,16,True
64,4,True
64,25,True
64,2,True
64,8,True
64,4,True
64,7,True
64,2,True
128,6,True
128,9,True
128,7,True
128,14,True
128,4,True
128,9,True
128,16,True
128,7,True
128,27,True
128,8,True
128,11,True
128,4,True
128,2,True
128,8,True
128,10,True
128,3,True
128,4,True
128,2,True
128,2,True
128,25,True
128,5,True
128,6,True
128,4,True
128,2,True
128,3,True
128,9,True
128,3,True
128,4,True
128,9,True
128,9,True
128,4,True
128,5,True
128,3,True
128,5,True
128,7,True
128,6,True
128,5,True
128,8,True
128,11,True
128,5,True
128,16,True
128,3,True
128,4,True
128,8,True
128,11,True
128,6,True
128,5,True
128,3,True
128,2,True
128,6,True
128,9,True
128,4,True
128,3,True
128,3,True
128,11,True
128,3,True
128,3,True
128,4,True
128,6,True
128,3,True
128,2,True
128,10,True
128,4,True
128,14,True
128,8,True
128,14,True
128,8,True
128,6,True
128,3,True
128,4,True
128,10,True
128,6,True
128,3,True
128,4,True
128,4,True
128,2,True
128,10,True
128,5,True
128,8,True
128,3,True
128,4,True
128,5,True
128,41,True
128,9,True
128,3,True
128,4,True
128,6,True
128,2,True
128,6,True
128,18,True
128,18,True
128,5,True
128,5,True
128,3,True
128,4,True
128,3,True
128,8,True
128,15,True
128,4,True
128,4,True
256,3,True
256,10,True
256,3,True
256,2,True
256,5,True
256,3,True
256,5,True
256,3,True
256,2,True
256,5,True
256,5,True
256,3,True
256,5,True
256,3,True
256,5,True
256,3,True
256,4,True
256,4,True
256,15,True
256,2,True
256,5,True
256,4,True
256,7,True
256,5,True
256,18,True
256,3,True
256,2,True
256,2,True
256,3,True
256,6,True
256,3,True
256,15,True
256,6,True
256,6,True
256,8,True
256,11,True
256,3,True
256,10,True
256,6,True
256,4,True
256,5,True
256,3,True
256,2,True
256,3,True
256,5,True
256,4,True
256,18,True
256,5,True
256,2,True
256,5,True
256,4,True
256,5,True
256,7,True
256,10,True
256,4,True
256,5,True
256,4,True
256,2,True
256,6,True
256,18,True
256,3,True
256,2,True
256,2,True
256,8,True
256,3,True
256,3,True
256,5,True
256,3,True
256,2,True
256,2,True
256,4,True
256,3,True
256,6,True
256,3,True
256,2,True
256,6,True
256,7,True
256,3,True
256,9,True
256,3,True
256,4,True
256,2,True
256,8,True
256,2,True
256,4,True
256,3,True
256,6,True
256,4,True
256,4,True
256,4,True
256,2,True
256,6,True
256,7,True
256,4,True
256,4,True
256,7,True
256,3,True
256,18,True
256,5,True
256,3,True
512,3,True
512,5,True
512,3,True
512,8,True
512,4,True
512,4,True
512,5,True
512,9,True
512,5,True
512,5,True
512,2,True
512,5,True
512,5,True
512,3,True
512,6,True
512,3,True
512,3,True
512,4,True
512,4,True
512,13,True
512,6,True
512,3,True
512,4,True
512,9,True
512,3,True
512,2,True
512,2,True
512,4,True
512,11,True
512,6,True
512,2,True
512,12,True
512,2,True
512,3,True
512,2,True
512,7,True
512,4,True
512,10,True
512,15,True
512,5,True
512,5,True
512,3,True
512,4,True
512,5,True
512,5,True
512,2,True
512,3,True
512,4,True
512,3,True
512,5,True
512,2,True
512,4,True
512,5,True
512,3,True
512,7,True
512,3,True
512,7,True
512,3,True
512,4,True
512,2,True
512,6,True
512,12,True
512,2,True
512,3,True
512,2,True
512,6,True
512,2,True
512,3,True
512,8,True
512,2,True
512,6,True
512,2,True
512,5,True
512,5,True
512,3,True
512,3,True
512,6,True
512,2,True
512,2,True
512,3,True
512,3,True
512,3,True
512,5,True
512,5,True
512,3,True
512,9,True
512,3,True
512,4,True
512,8,True
512,4,True
512,5,True
512,14,True
512,4,True
512,4,True
512,7,True
512,6,True
512,4,True
512,5,True
512,7,True
512,2,True
